FID,Id,Name,Descript,Type,Comment,Symbol,DateTimeS,Elevation,Block,N,P,K,Mg,NDVI
0,0,s1,"Northing:9683062.24763447
Easting:245533.763390861
Description:",WPT, , ,2024-02-03T08:10:47+08:00,6.366800000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.907760024071000
1,0,s10,"Northing:9683237.34065183
Easting:245597.178613297
Description:",WPT, , ,2024-02-03T08:14:26+08:00,9.415670000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.907088994980000
2,0,s11,"Northing:9683308.11142189
Easting:245538.440768067
Description:",WPT, , ,2024-02-03T08:14:42+08:00,8.662419999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.913538992405000
3,0,s12,"Northing:9683380.54036411
Easting:245478.312484516
Description:",WPT, , ,2024-02-03T08:14:59+08:00,9.945000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.907648980618000
4,0,s13,"Northing:9683488.45680805
Easting:245493.124529001
Description:",WPT, , ,2024-02-03T08:16:24+08:00,8.942660000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.848888993263000
5,0,s14,"Northing:9683416.68395347
Easting:245552.646879145
Description:",WPT, , ,2024-02-03T08:19:03+08:00,11.741000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.893199026585000
6,0,s15,"Northing:9683345.49626173
Easting:245611.458077094
Description:",WPT, , ,2024-02-03T08:19:20+08:00,8.810980000000001,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.887178003788000
7,0,s16,"Northing:9683274.81131205
Easting:245670.412611899
Description:",WPT, , ,2024-02-03T08:19:41+08:00,9.325970000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.896628975868000
8,0,s17,"Northing:9683270.17643975
Easting:245779.686979793
Description:",WPT, , ,2024-02-03T08:20:35+08:00,5.759530000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.912617981434000
9,0,s18,"Northing:9683339.49820734
Easting:245721.301937418
Description:",WPT, , ,2024-02-03T08:21:24+08:00,7.326480000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.880822002888000
10,0,s19,"Northing:9683411.95900182
Easting:245661.359788862
Description:",WPT, , ,2024-02-03T08:22:01+08:00,9.480689999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.900794029236000
11,0,s2,"Northing:9683134.55034701
Easting:245474.087916469
Description:",WPT, , ,2024-02-03T08:11:07+08:00,7.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.932183027267000
12,0,s20,"Northing:9683320.51251493
Easting:245840.541183569
Description:",WPT, , ,2024-02-03T08:02:32+08:00,6.005800000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.889508008957000
13,0,s21,"Northing:9683391.54815828
Easting:245781.719578544
Description:",WPT, , ,2024-02-03T08:04:39+08:00,0.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.700985014439000
14,0,s22,"Northing:9683463.30827727
Easting:245722.095442789
Description:",WPT, , ,2024-02-03T08:06:07+08:00,6.844440000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.799183011055000
15,0,s23,"Northing:9683534.00579229
Easting:245663.950684724
Description:",WPT, , ,2024-02-03T08:07:39+08:00,8.020750000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.869476974010000
16,0,s24,"Northing:9683644.28829408
Easting:245676.995512312
Description:",WPT, , ,2024-02-03T08:24:30+08:00,7.032730000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.848775982857000
17,0,s25,"Northing:9683572.01759479
Easting:245736.707477382
Description:",WPT, , ,2024-02-03T08:25:56+08:00,7.001890000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.918771028519000
18,0,s26,"Northing:9683500.60511184
Easting:245795.719763544
Description:",WPT, , ,2024-02-03T08:27:42+08:00,0.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.862896025181000
19,0,s27,"Northing:9683430.02202729
Easting:245854.104185343
Description:",WPT, , ,2024-02-03T08:29:19+08:00,7.642120000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.820241987705000
20,0,s28,"Northing:9683424.20523048
Easting:245963.106956913
Description:",WPT, , ,2024-02-03T08:32:20+08:00,8.033700000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.914457976818000
21,0,s29,"Northing:9683495.75306127
Easting:245904.508839881
Description:",WPT, , ,2024-02-03T08:33:48+08:00,7.742090000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.905827999115000
22,0,s3,"Northing:9683205.04002524
Easting:245415.923311201
Description:",WPT, , ,2024-02-03T08:11:24+08:00,9.694660000000001,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.925629019737000
23,0,s30,"Northing:9683567.39345882
Easting:245844.672068554
Description:",WPT, , ,2024-02-03T08:37:02+08:00,7.508160000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.846040010452000
24,0,s31,"Northing:9683637.68330636
Easting:245786.445688596
Description:",WPT, , ,2024-02-03T08:45:05+08:00,0.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.889042019844000
25,0,s32,"Northing:9683710.781021
Easting:245829.740827925
Description:",WPT, , ,2024-02-03T08:49:16+08:00,12.654400000000001,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.907374024391000
26,0,s33,"Northing:9683640.11016466
Easting:245888.648799822
Description:",WPT, , ,2024-02-03T08:50:58+08:00,8.030500000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.819117009640000
27,0,s34,"Northing:9683569.4574606
Easting:245947.426762453
Description:",WPT, , ,2024-02-03T08:52:47+08:00,10.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.867156982422000
28,0,s35,"Northing:9683497.62933825
Easting:246006.833906614
Description:",WPT, , ,2024-02-03T08:54:24+08:00,7.139600000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.904483973980000
29,0,s36,"Northing:9683536.15332647
Easting:246079.405115433
Description:",WPT, , ,2024-02-03T08:56:23+08:00,7.086010000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.875836014748000
30,0,s37,"Northing:9683606.96917092
Easting:246019.656063586
Description:",WPT, , ,2024-02-03T08:58:19+08:00,8.135730000000001,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.883367002010000
31,0,s38,"Northing:9683678.10638436
Easting:245960.635413612
Description:",WPT, , ,2024-02-03T09:00:57+08:00,9.444220000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.757888019085000
32,0,s39,"Northing:9683715.07023736
Easting:246033.434793238
Description:",WPT, , ,2024-02-03T09:10:36+08:00,9.199890000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.888983011246000
33,0,s4,"Northing:9683276.21912897
Easting:245355.451378441
Description:",WPT, , ,2024-02-03T08:11:46+08:00,8.633940000000001,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.926488995552000
34,0,s40,"Northing:9683645.14293106
Easting:246093.311715931
Description:",WPT, , ,2024-02-03T09:12:20+08:00,7.820500000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.865404009819000
35,0,s41,"Northing:9683638.26947111
Easting:246193.277201618
Description:",WPT, , ,2024-02-03T09:15:04+08:00,8.220480000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.895455002785000
36,0,s42,"Northing:9683709.01690985
Easting:246132.999187194
Description:",WPT, , ,2024-02-03T09:16:38+08:00,10.506000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.895502984524000
37,0,s43,"Northing:9683778.68792885
Easting:246072.409211212
Description:",WPT, , ,2024-02-03T09:18:03+08:00,9.229889999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.867986023426000
38,0,s44,"Northing:9683845.75588355
Easting:246121.396826274
Description:",WPT, , ,2024-02-03T09:23:42+08:00,8.874639999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.933946013451000
39,0,s45,"Northing:9683775.10661218
Easting:246181.821643066
Description:",WPT, , ,2024-02-03T09:25:34+08:00,10.164899999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.882504999638000
40,0,s46,"Northing:9683704.64498763
Easting:246240.000324168
Description:",WPT, , ,2024-02-03T09:27:04+08:00,7.839590000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.930063009262000
41,0,s47,"Northing:9683741.4694643
Easting:246313.490467752
Description:",WPT, , ,2024-02-03T09:28:57+08:00,7.210510000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.892235994339000
42,0,s48,"Northing:9683805.67796236
Easting:246260.29810687
Description:",WPT, , ,2024-02-03T09:30:35+08:00,8.959519999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.891915023327000
43,0,s49,"Northing:9683883.58046516
Easting:246194.791125296
Description:",WPT, , ,2024-02-03T09:39:58+08:00,8.111430000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.834550976753000
44,0,s5,"Northing:9683384.35997237
Easting:245370.415394148
Description:",WPT, , ,2024-02-03T08:12:37+08:00,9.881850000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.931514024734000
45,0,s50,"Northing:9683921.14514588
Easting:246267.663560658
Description:",WPT, , ,2024-02-03T09:43:01+08:00,0.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.768526971340000
46,0,s51,"Northing:9683851.28116242
Easting:246327.951234304
Description:",WPT, , ,2024-02-03T09:45:33+08:00,8.342520000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.903627991676000
47,0,s52,"Northing:9683846.22410062
Easting:246436.118237877
Description:",WPT, , ,2024-02-03T09:48:27+08:00,8.623030000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.886720001698000
48,0,s53,"Northing:9683909.20896925
Easting:246382.424934202
Description:",WPT, , ,2024-02-03T09:49:47+08:00,0.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.782926023006000
49,0,s54,"Northing:9683979.9677075
Easting:246321.440241786
Description:",WPT, , ,2024-02-03T09:51:24+08:00,7.979230000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.920009970665000
50,0,s55,"Northing:9684012.08982216
Easting:246400.89418529
Description:",WPT, , ,2024-02-03T09:56:55+08:00,7.784050000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.892724990845000
51,0,s56,"Northing:9683940.69510088
Easting:246460.893916634
Description:",WPT, , ,2024-02-03T09:58:23+08:00,0.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.891735017300000
52,0,s57,"Northing:9683956.51437614
Easting:246552.070040736
Description:",WPT, , ,2024-02-03T10:00:59+08:00,9.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.910265028477000
53,0,s58,"Northing:9684028.34369114
Easting:246492.395135418
Description:",WPT, , ,2024-02-03T10:02:31+08:00,8.485989999999999,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.832463026047000
54,0,s59,"Northing:9684099.02957381
Easting:246432.020922792
Description:",WPT, , ,2024-02-03T10:03:58+08:00,7.203580000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.896622002125000
55,0,s6,"Northing:9683315.25116965
Easting:245429.494902704
Description:",WPT, , ,2024-02-03T08:12:56+08:00,7.037760000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.869156002998000
56,0,s60,"Northing:9684115.31718942
Easting:246523.333025444
Description:",WPT, , ,2024-02-03T10:06:36+08:00,0.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.921580970287000
57,0,s61,"Northing:9684043.70105032
Easting:246583.187171487
Description:",WPT, , ,2024-02-03T10:09:15+08:00,8.529930000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.907127976418000
58,0,s62,"Northing:9683893.01664256
Easting:245977.326661307
Description:",WPT, , ,2024-02-03T10:23:52+08:00,7.310860000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.845026016235000
59,0,s63,"Northing:9683944.39870462
Easting:246038.071558241
Description:",WPT, , ,2024-02-03T10:23:22+08:00,7.212290000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.890033006668000
60,0,s64,"Northing:9683994.74368053
Easting:246099.941508918
Description:",WPT, , ,2024-02-03T10:22:53+08:00,8.126540000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.906189024448000
61,0,s65,"Northing:9684042.82750156
Easting:246165.88929503
Description:",WPT, , ,2024-02-03T10:22:25+08:00,8.000000000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.845910012722000
62,0,s66,"Northing:9684093.50464348
Easting:246226.291591714
Description:",WPT, , ,2024-02-03T10:21:21+08:00,6.886090000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.943801999092000
63,0,s67,"Northing:9684145.43861836
Easting:246287.610962737
Description:",WPT, , ,2024-02-03T10:20:12+08:00,7.973080000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.857325971127000
64,0,s68,"Northing:9684197.79404122
Easting:246348.969470764
Description:",WPT, , ,2024-02-03T10:19:53+08:00,6.927360000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.924458026886000
65,0,s69,"Northing:9684248.92739921
Easting:246410.070019955
Description:",WPT, , ,2024-02-03T10:19:24+08:00,7.839960000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.920596003532000
66,0,s7,"Northing:9683243.5343689
Easting:245488.449931595
Description:",WPT, , ,2024-02-03T08:13:13+08:00,9.499210000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.863602995872000
67,0,s8,"Northing:9683172.32692685
Easting:245548.467870679
Description:",WPT, , ,2024-02-03T08:13:37+08:00,9.080500000000001,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.852941989899000
68,0,s9,"Northing:9683165.94139531
Easting:245657.180238169
Description:",WPT, , ,2024-02-03T08:14:05+08:00,6.581250000000000,A29,2.780000000000000,0.110000000000000,0.490000000000000,0.320000000000000,0.919950008392000
69,0,40,"Northing:9683658.18176425
Easting:246623.608984663
Description:",WPT, , ,2024-02-02T09:35:54+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.935217022896000
70,0,S1,"Northing:9682826.59077317
Easting:245754.897728686
Description:",WPT, , ,2024-02-02T07:54:54+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.924067974091000
71,0,s10,"Northing:9683132.30940408
Easting:246020.648410187
Description:",WPT, , ,2024-02-02T08:20:05+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.846678972244000
72,0,s11,"Northing:9683136.04348854
Easting:246123.397213472
Description:",WPT, , ,2024-02-02T08:20:37+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.916764974594000
73,0,s12,"Northing:9683205.39549784
Easting:246063.711999294
Description:",WPT, , ,2024-02-02T08:21:12+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.894698023796000
74,0,s13,"Northing:9683274.75143487
Easting:246003.987089071
Description:",WPT, , ,2024-02-02T08:21:31+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.880998015404000
75,0,s14,"Northing:9683376.91671951
Easting:246023.038544405
Description:",WPT, , ,2024-02-02T08:22:00+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.914821028709000
76,0,s15,"Northing:9683299.66744599
Easting:246090.128718336
Description:",WPT, , ,2024-02-02T08:22:32+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.876015007496000
77,0,s16,"Northing:9683230.48030503
Easting:246148.839690815
Description:",WPT, , ,2024-02-02T08:23:06+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.884280025959000
78,0,s17,"Northing:9683287.93419741
Easting:246203.150755931
Description:",WPT, , ,2024-02-02T08:30:49+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.898091971874000
79,0,s18,"Northing:9683357.70124887
Easting:246142.944818866
Description:",WPT, , ,2024-02-02T08:31:42+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.916208982468000
80,0,s19,"Northing:9683429.49032235
Easting:246083.729170139
Description:",WPT, , ,2024-02-02T08:32:22+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.920533001423000
81,0,s2,"Northing:9682877.60758013
Easting:245816.391509452
Description:",WPT, , ,2024-02-02T07:55:39+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.915768027306000
82,0,s20,"Northing:9683431.477822
Easting:246186.963240665
Description:",WPT, , ,2024-02-02T08:33:09+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.899451971054000
83,0,s21,"Northing:9683361.34304334
Easting:246246.553468828
Description:",WPT, , ,2024-02-02T08:33:27+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.896184980869000
84,0,s22,"Northing:9683290.539415
Easting:246306.252879203
Description:",WPT, , ,2024-02-02T08:33:57+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.904182016850000
85,0,s23,"Northing:9683397.97472892
Easting:246318.623620622
Description:",WPT, , ,2024-02-02T08:34:24+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.888539016247000
86,0,s24,"Northing:9683468.86943327
Easting:246259.281938549
Description:",WPT, , ,2024-02-02T08:35:01+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.885514974594000
87,0,s25,"Northing:9683539.55568692
Easting:246199.245483137
Description:",WPT, , ,2024-02-02T08:35:36+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.907535970211000
88,0,s26,"Northing:9683535.88813271
Easting:246306.778852728
Description:",WPT, , ,2024-02-02T08:36:03+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.931558012962000
89,0,s27,"Northing:9683462.07205216
Easting:246367.639251531
Description:",WPT, , ,2024-02-02T08:36:34+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.898880004883000
90,0,s28,"Northing:9683400.82359549
Easting:246421.744557383
Description:",WPT, , ,2024-02-02T08:37:01+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.882045984268000
91,0,s29,"Northing:9683502.67480852
Easting:246441.096868552
Description:",WPT, , ,2024-02-02T09:26:34+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.926025986671000
92,0,s3,"Northing:9682930.52512773
Easting:245877.461379779
Description:",WPT, , ,2024-02-02T08:15:17+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.907383978367000
93,0,s30,"Northing:9683574.92378049
Easting:246378.81076036
Description:",WPT, , ,2024-02-02T09:27:16+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.920790970325000
94,0,s31,"Northing:9683644.7674841
Easting:246321.536774359
Description:",WPT, , ,2024-02-02T09:27:34+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.903261005878000
95,0,s32,"Northing:9683646.65114965
Easting:246423.840905566
Description:",WPT, , ,2024-02-02T09:30:22+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.922327995300000
96,0,s33,"Northing:9683576.59294957
Easting:246483.622124
Description:",WPT, , ,2024-02-02T09:29:33+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.904578983784000
97,0,s34,"Northing:9683506.20156899
Easting:246543.844632831
Description:",WPT, , ,2024-02-02T09:29:15+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.883435010910000
98,0,s35,"Northing:9683608.02457786
Easting:246563.854012645
Description:",WPT, , ,2024-02-02T09:32:21+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.922388017178000
99,0,s36,"Northing:9683671.18335632
Easting:246507.62938078
Description:",WPT, , ,2024-02-02T09:32:49+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.914256989956000
100,0,s37,"Northing:9683749.002887
Easting:246443.56419534
Description:",WPT, , ,2024-02-02T09:33:12+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.915835976601000
101,0,s38,"Northing:9683800.64911412
Easting:246505.385709495
Description:",WPT, , ,2024-02-02T09:36:52+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.892636001110000
102,0,s39,"Northing:9683728.71828724
Easting:246564.125583887
Description:",WPT, , ,2024-02-02T09:36:33+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.939370989799000
103,0,s4,"Northing:9682981.32365095
Easting:245940.409944121
Description:",WPT, , ,2024-02-02T08:15:40+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.930146992207000
104,0,s41,"Northing:9683661.6799772
Easting:246727.888465139
Description:",WPT, , ,2024-02-02T09:37:49+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.925023972988000
105,0,s42,"Northing:9683733.52809426
Easting:246667.630930834
Description:",WPT, , ,2024-02-02T09:40:21+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.917811989784000
106,0,s43,"Northing:9683804.39369614
Easting:246606.18940974
Description:",WPT, , ,2024-02-02T09:40:42+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.905260026455000
107,0,s44,"Northing:9683912.49121319
Easting:246620.902665448
Description:",WPT, , ,2024-02-02T09:41:17+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.913123011589000
108,0,s45,"Northing:9683840.96608629
Easting:246680.042322228
Description:",WPT, , ,2024-02-02T09:41:37+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.903258025646000
109,0,s46,"Northing:9683763.4746034
Easting:246744.968753372
Description:",WPT, , ,2024-02-02T09:41:55+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.885426998138000
110,0,s5,"Northing:9683032.59857978
Easting:245999.144941938
Description:",WPT, , ,2024-02-02T08:16:04+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.879073023796000
111,0,s6,"Northing:9683125.33819839
Easting:245922.062563288
Description:",WPT, , ,2024-02-02T08:16:29+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.889819979668000
112,0,s7,"Northing:9683215.70822209
Easting:245844.754836102
Description:",WPT, , ,2024-02-02T08:18:04+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.927636981010000
113,0,s8,"Northing:9683274.21332402
Easting:245900.489207085
Description:",WPT, , ,2024-02-02T08:19:12+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.938286006451000
114,0,s9,"Northing:9683202.82478181
Easting:245961.027717616
Description:",WPT, , ,2024-02-02T08:19:42+08:00,0.000000000000000,A30,3.730000000000000,0.120000000000000,0.710000000000000,0.400000000000000,0.897767007351000
